tag,module,description
q,core,"(quoted) contains material which is distinguished from the surrounding text using quotation marks or a similar method, for any one of a variety of reasons including, but not limited to: direct speech or thought, technical terms or jargon, authorial distance, quotations from elsewhere, and passages that are mentioned but not used."
quote,core,(quotation) contains a phrase or passage attributed by the narrator or author to some agency external to the text.
rb,core,(ruby base) contains the base text annotated by a ruby gloss.
ref,core,"(reference) defines a reference to another location, possibly modified by additional text or comment."
reg,core,(regularization) contains a reading which has been regularized or normalized in some sense.
relatedItem,core,"contains or references some other bibliographic item which is related to the present one in some specified manner, for example as a constituent or alternative version of it."
resp,core,"(responsibility) contains a phrase describing the nature of a person's intellectual responsibility, or an organization's role in the production or distribution of a work."
respStmt,core,"(statement of responsibility) supplies a statement of responsibility for the intellectual content of a text, edition, recording, or series, where the specialized elements for authors, editors, etc. do not suffice or do not apply. May also be used to encode information about individuals or organizations which have played a role in the production or distribution of a bibliographic work."
rs,core,(referencing string) contains a general purpose name or referring string.
rt,core,"(ruby text) contains a ruby text, an annotation closely associated with a passage of the main text."
ruby,core,(ruby container) contains a passage of base text along with its associated ruby gloss(es).
said,core,"(speech or thought) indicates passages thought or spoken aloud, whether explicitly indicated in the source or not, whether directly or indirectly reported, whether by real people or fictional characters."
series,core,(series information) contains information about the series in which a book or other bibliographic item has appeared.
sic,core,(Latin for thus or so) contains text reproduced although apparently incorrect or inaccurate.
soCalled,core,"(so called) contains a word or phrase for which the author or narrator indicates a disclaiming of responsibility, for example by the use of scare quotes or italics."
sp,core,"(speech) contains an individual speech in a performance text, or a passage presented as such in a prose or verse text."
speaker,core,"contains a specialized form of heading or label, giving the name of one or more speakers in a dramatic text or fragment."
stage,core,(stage direction) contains any kind of stage direction within a dramatic text or fragment.
street,core,contains a full street address including any name or number identifying a building as well as the name of the street or route on which it is located.
teiCorpus,core,"(TEI corpus) contains the whole of a TEI encoded corpus, comprising a single corpus header and one or more TEI elements, each containing a single text header and a text."
term,core,"(term) contains a single-word, multi-word, or symbolic designation which is regarded as a technical term."
textLang,core,"(text language) describes the languages and writing systems identified within the bibliographic work being described, rather than its description."
time,core,(time) contains a phrase defining a time of day in any format.
title,core,(title) contains a title for any kind of work.
unclear,core,"(unclear) contains a word, phrase, or passage which cannot be transcribed with certainty because it is illegible or inaudible in the source."
unit,core,"contains a symbol, a word or a phrase referring to a unit of measurement in any kind of formal or informal system."
activity,corpus,"(activity) contains a brief informal description of what a participant in a language interaction is doing other than speaking, if anything."
channel,corpus,"(primary channel) describes the medium or channel by which a text is delivered or experienced. For a written text, this might be print, manuscript, email, etc.; for a spoken one, radio, telephone, face-to-face, etc."
constitution,corpus,"(constitution) describes the internal composition of a text or text sample, for example as fragmentary, complete, etc."
derivation,corpus,(derivation) describes the nature and extent of originality of this text.
domain,corpus,"(domain of use) describes the most important social context in which the text was realized or for which it is intended, for example private vs. public, education, religion, etc."
factuality,corpus,"(factuality) describes the extent to which the text may be regarded as imaginative or non-imaginative, that is, as describing a fictional or a non-fictional world."
interaction,corpus,"(interaction) describes the extent, cardinality and nature of any interaction among those producing and experiencing the text, for example in the form of response or interjection, commentary, etc."
locale,corpus,"contains a brief informal description of the kind of place concerned, for example: a room, a restaurant, a park bench, etc."
particDesc,corpus,"(participation description) describes the identifiable speakers, voices, or other participants in any kind of text or other persons named or otherwise referred to in a text, edition, or metadata."
preparedness,corpus,(preparedness) describes the extent to which a text may be regarded as prepared or spontaneous.
purpose,corpus,characterizes a single purpose or communicative function of the text.
setting,corpus,describes one particular setting in which a language interaction takes place.
settingDesc,corpus,"(setting description) describes the setting or settings within which a language interaction takes place, or other places otherwise referred to in a text, edition, or metadata."
textDesc,corpus,(text description) provides a description of a text in terms of its situational parameters.
case,dictionaries,(case) contains grammatical case information given by a dictionary for a given form.
colloc,dictionaries,(collocate) contains any sequence of words that co-occur with the headword with significant frequency.
def,dictionaries,(definition) contains definition text in a dictionary entry.
dictScrap,dictionaries,(dictionary scrap) encloses a part of a dictionary entry in which other phrase-level dictionary elements are freely combined.
entry,dictionaries,"(entry) contains a single structured entry in any kind of lexical resource, such as a dictionary or lexicon."
entryFree,dictionaries,"(unstructured entry) contains a single unstructured entry in any kind of lexical resource, such as a dictionary or lexicon."
etym,dictionaries,(etymology) encloses the etymological information in a dictionary entry.
form,dictionaries,(form information group) groups all the information on the written and spoken forms of one headword.
gen,dictionaries,"(gender) identifies the morphological gender of a lexical item, as given in the dictionary."
gram,dictionaries,"(grammatical information) within an entry in a dictionary or a terminological data file, contains grammatical information relating to a term, word, or form."
gramGrp,dictionaries,"(grammatical information group) groups morpho-syntactic information about a lexical item, e.g. pos, gen, number, case, or iType (inflectional class)."
hom,dictionaries,(homograph) groups information relating to one homograph within an entry.
hyph,dictionaries,"(hyphenation) contains a hyphenated form of a dictionary headword, or hyphenation information in some other form."
iType,dictionaries,(inflectional class) indicates the inflectional class associated with a lexical item.
lang,dictionaries,(language name) contains the name of a language mentioned in etymological or other linguistic discussion.
lbl,dictionaries,"(label) contains a label for a form, example, translation, or other piece of information, e.g. abbreviation for, contraction of, literally, approximately, synonyms:, etc."
mood,dictionaries,"(mood) contains information about the grammatical mood of verbs (e.g. indicative, subjunctive, imperative)."
number,dictionaries,"(number) indicates grammatical number associated with a form, as given in a dictionary."
oRef,dictionaries,"(orthographic-form reference) in a dictionary example, indicates a reference to the orthographic form(s) of the headword."
orth,dictionaries,(orthographic form) gives the orthographic form of a dictionary headword.
pRef,dictionaries,"(pronunciation reference) in a dictionary example, indicates a reference to the pronunciation(s) of the headword."
per,dictionaries,"(person) contains an indication of the grammatical person (1st, 2nd, 3rd, etc.) associated with a given inflected form in a dictionary."
pos,dictionaries,"(part of speech) indicates the part of speech assigned to a dictionary headword such as noun, verb, or adjective."
pron,dictionaries,(pronunciation) contains the pronunciation(s) of the word.
re,dictionaries,"(related entry) contains a dictionary entry for a lexical item related to the headword, such as a compound phrase or derived form, embedded inside a larger entry."
sense,dictionaries,"groups together all information relating to one word sense in a dictionary entry, for example definitions, examples, and translation equivalents."
stress,dictionaries,"(stress) contains the stress pattern for a dictionary headword, if given separately."
subc,dictionaries,"(subcategorization) contains subcategorization information (transitive/intransitive, countable/non-countable, etc.)"
superEntry,dictionaries,"(super entry) groups a sequence of entries within any kind of lexical resource, such as a dictionary or lexicon which function as a single unit, for example a set of homographs."
syll,dictionaries,(syllabification) contains the syllabification of the headword.
tns,dictionaries,(tense) indicates the grammatical tense associated with a given inflected form in a dictionary.
usg,dictionaries,(usage) contains usage information in a dictionary entry.
xr,dictionaries,"(cross-reference phrase) contains a phrase, sentence, or icon referring the reader to some other location in this or another text."
actor,drama,contains the name of an actor appearing within a cast list.
camera,drama,(camera) describes a particular camera angle or viewpoint in a screen play.
caption,drama,(caption) contains the text of a caption or other text displayed as part of a film script or screenplay.
castGroup,drama,(cast list grouping) groups one or more individual castItem elements within a cast list.
castItem,drama,"(cast list item) contains a single entry within a cast list, describing either a single role or a list of non-speaking roles."
castList,drama,(cast list) contains a single cast list or dramatis personae.
epilogue,drama,"(epilogue) contains the epilogue to a drama, typically spoken by an actor out of character, possibly in association with a particular performance or venue."
move,drama,(movement) marks the actual movement of one or more characters.
performance,drama,(performance) contains a section of front or back matter describing how a dramatic piece is to be performed in general or how it was performed on some specific occasion.
prologue,drama,"(prologue) contains the prologue to a drama, typically spoken by an actor out of character, possibly in association with a particular performance or venue."
role,drama,"(role) contains the name of a dramatic role, as given in a cast list."
roleDesc,drama,(role description) describes a character's role in a drama.
set,drama,"(setting) contains a description of the setting, time, locale, appearance, etc., of the action of a play, typically found in the front matter of a printed performance text (not a stage direction)."
sound,drama,(sound) describes a sound effect or musical sequence specified within a screen play or radio script.
spGrp,drama,(speech group) contains a group of speeches or songs in a performance text presented in a source as constituting a single unit or ‘number’.
tech,drama,(technical stage direction) describes a special-purpose stage direction that is not meant for the actors.
view,drama,"(view) describes the visual context of some part of a screen play in terms of what the spectator sees, generally independent of any dialogue."
cell,figures,(cell) contains one cell of a table.
figDesc,figures,"(description of figure) contains a brief prose description of the appearance or content of a graphic figure, for use when documenting an image without displaying it."
figure,figures,"(figure) groups elements representing or containing graphic information such as an illustration, formula, or figure."
formula,figures,(formula) contains a mathematical or other formula.
notatedMusic,figures,encodes the presence of music notation in a text
row,figures,(row) contains one row of a table.
table,figures,"(table) contains text displayed in tabular form, in rows and columns."
char,gaiji,(character) provides descriptive information about a character.
charDecl,gaiji,(character declarations) provides information about nonstandard characters and glyphs.
g,gaiji,"(character or glyph) represents a glyph, or a non-standard character."
glyph,gaiji,(character glyph) provides descriptive information about a character glyph.
localProp,gaiji,(locally defined property) provides a locally defined character (or glyph) property.
mapping,gaiji,"(character mapping) contains one or more characters which are related to the parent character or glyph in some respect, as specified by the type attribute."
unicodeProp,gaiji,(unicode property) provides a Unicode property for a character (or glyph).
unihanProp,gaiji,(unihan property) holds the name and value of a normative or informative Unihan character (or glyph) property as part of its attributes.
abstract,header,contains a summary or formal abstract prefixed to an existing source document by the encoder.
appInfo,header,(application information) records information about an application which has edited the TEI file.
application,header,provides information about an application which has acted upon the document.
authority,header,"(release authority) supplies the name of a person or other agency responsible for making a work available, other than a publisher or distributor."
availability,header,"(availability) supplies information about the availability of a text, for example any restrictions on its use or distribution, its copyright status, any licence applying to it, etc."
biblFull,header,"(fully-structured bibliographic citation) contains a fully-structured bibliographic citation, in which all components of the TEI file description are present."
cRefPattern,header,(canonical reference pattern) specifies an expression and replacement pattern for transforming a canonical reference into a URI.
calendar,header,(calendar) describes a calendar or dating system used in a dating formula in the text.
calendarDesc,header,(calendar description) contains a description of the calendar system used in any dating expression found in the text.
catDesc,header,"(category description) describes some category within a taxonomy or text typology, either in the form of a brief prose description or in terms of the situational parameters used by the TEI formal textDesc."
catRef,header,(category reference) specifies one or more defined categories within some taxonomy or text typology.
category,header,"(category) contains an individual descriptive category, possibly nested within a superordinate category, within a user-defined taxonomy."
change,header,"(change) documents a change or set of changes made during the production of a source document, or during the revision of an electronic file."
citeData,header,(citation data) specifies how information may be extracted from citation structures.
citeStructure,header,(citation structure) declares a structure and method for citing the current document.
classCode,header,(classification code) contains the classification code used for this text in some standard classification system.
classDecl,header,(classification declarations) contains one or more taxonomies defining any classificatory codes used elsewhere in the text.
conversion,header,defines how to calculate one unit of measure in terms of another.
correction,header,(correction principles) states how and under what circumstances corrections have been made in the text.
correspAction,header,"(correspondence action) contains a structured description of the place, the name of a person/organization and the date related to the sending/receiving of a message or any other action related to the correspondence."
correspContext,header,(correspondence context) provides references to preceding or following correspondence related to this piece of correspondence.
correspDesc,header,(correspondence description) contains a description of the actions related to one act of correspondence.
creation,header,(creation) contains information about the creation of a text.
distributor,header,(distributor) supplies the name of a person or other agency responsible for the distribution of a text.
edition,header,(edition) describes the particularities of one edition of a text.
editionStmt,header,(edition statement) groups information relating to one edition of a text.
editorialDecl,header,(editorial practice declaration) provides details of editorial principles and practices applied during the encoding of a text.
encodingDesc,header,(encoding description) documents the relationship between an electronic text and the source or sources from which it was derived.
extent,header,"(extent) describes the approximate size of a text stored on some carrier medium or of some other object, digital or non-digital, specified in any convenient units."
fileDesc,header,(file description) contains a full bibliographic description of an electronic file.
funder,header,"(funding body) specifies the name of an individual, institution, or organization responsible for the funding of a project or text."
geoDecl,header,(geographic coordinates declaration) documents the notation and the datum used for geographic coordinates expressed as content of the geo element elsewhere within the document.
handNote,header,(note on hand) describes a particular style or hand distinguished within a manuscript.
hyphenation,header,(hyphenation) summarizes the way in which hyphenation in a source text has been treated in an encoded version of it.
idno,header,"(identifier) supplies any form of identifier used to identify some object, such as a bibliographic item, a person, a title, an organization, etc. in a standardized way."
interpretation,header,(interpretation) describes the scope of any analytic or interpretive information added to the text in addition to the transcription.
keywords,header,(keywords) contains a list of keywords or phrases identifying the topic or nature of a text.
langUsage,header,"(language usage) describes the languages, sublanguages, registers, dialects, etc. represented within a text."
language,header,(language) characterizes a single language or sublanguage used within a text.
licence,header,contains information about a licence or other legal agreement applicable to the text.
listChange,header,groups a number of change descriptions associated with either the creation of a source text or the revision of an encoded text.
listPrefixDef,header,"(list of prefix definitions) contains a list of definitions of prefixing schemes used in teidata.pointer values, showing how abbreviated URIs using each scheme may be expanded into full URIs."
namespace,header,(namespace) supplies the formal name of the namespace to which the elements documented by its children belong.
normalization,header,(normalization) indicates the extent of normalization or regularization of the original source carried out in converting it to electronic form.
notesStmt,header,(notes statement) collects together any notes providing information about a text additional to that recorded in other parts of the bibliographic description.
prefixDef,header,"(prefix definition) defines a prefixing scheme used in teidata.pointer values, showing how abbreviated URIs using the scheme may be expanded into full URIs."
principal,header,(principal researcher) supplies the name of the principal researcher responsible for the creation of an electronic text.
profileDesc,header,"(text-profile description) provides a detailed description of non-bibliographic aspects of a text, specifically the languages and sublanguages used, the situation in which it was produced, the participants and their setting."
projectDesc,header,"(project description) describes in detail the aim or purpose for which an electronic file was encoded, together with any other relevant information concerning the process by which it was assembled or collected."
publicationStmt,header,(publication statement) groups information concerning the publication or distribution of an electronic or other text.
punctuation,header,specifies editorial practice adopted with respect to punctuation marks in the original.
quotation,header,(quotation) specifies editorial practice adopted with respect to quotation marks in the original.
refState,header,(reference state) specifies one component of a canonical reference defined by the milestone method.
refsDecl,header,(references declaration) specifies how canonical references are constructed for this text.
rendition,header,(rendition) supplies information about the rendition or appearance of one or more elements in the source text.
revisionDesc,header,(revision description) summarizes the revision history for a file.
samplingDecl,header,"(sampling declaration) contains a prose description of the rationale and methods used in selecting texts, or parts of a text, for inclusion in the resource."
schemaRef,header,(schema reference) describes or points to a related customization or schema file
scriptNote,header,describes a particular script distinguished within the description of a manuscript or similar resource.
segmentation,header,"(segmentation) describes the principles according to which the text has been segmented, for example into sentences, tone-units, graphemic strata, etc."
seriesStmt,header,"(series statement) groups information about the series, if any, to which a publication belongs."
sourceDesc,header,"(source description) describes the source(s) from which an electronic text was derived or generated, typically a bibliographic description in the case of a digitized text, or a phrase such as ‘born digital’ for a text which has no previous existence."
sponsor,header,(sponsor) specifies the name of a sponsoring organization or institution.
stdVals,header,(standard values) specifies the format used when standardized date or number values are supplied.
styleDefDecl,header,(style definition language declaration) specifies the name of the formal language in which style or renditional information is supplied elsewhere in the document. The specific version of the scheme may also be supplied.
tagUsage,header,(element usage) documents the usage of a specific element within a specified document.
tagsDecl,header,(tagging declaration) provides detailed information about the tagging applied to a document.
taxonomy,header,"(taxonomy) defines a typology either implicitly, by means of a bibliographic citation, or explicitly by a structured taxonomy."
teiHeader,header,(TEI header) supplies descriptive and declarative metadata associated with a digital resource or set of resources.
textClass,header,"(text classification) groups information which describes the nature or topic of a text in terms of a standard classification scheme, thesaurus, etc."
titleStmt,header,(title statement) groups information about the title of a work and those responsible for its content.
unitDecl,header,(unit declarations) provides information about units of measurement that are not members of the International System of Units.
unitDef,header,(unit definition) contains descriptive information related to a specific unit of measurement.
xenoData,header,(non-TEI metadata) provides a container element into which metadata in non-TEI formats may be placed.
bicond,iso-fs,"(bi-conditional feature-structure constraint) defines a biconditional feature-structure constraint; both consequent and antecedent are specified as feature structures or groups of feature structures; the constraint is satisfied if both subsume a given feature structure, or if both do not."
binary,iso-fs,(binary value) represents the value part of a feature-value specification which can contain either of exactly two possible values.
cond,iso-fs,"(conditional feature-structure constraint) defines a conditional feature-structure constraint; the consequent and the antecedent are specified as feature structures or feature-structure collections; the constraint is satisfied if both the antecedent and the consequent subsume a given feature structure, or if the antecedent does not."
default,iso-fs,(default feature value) represents the value part of a feature-value specification which contains a defaulted value.
f,iso-fs,"(feature) represents a feature value specification, that is, the association of a name with a value of any of several different types."
fDecl,iso-fs,"(feature declaration) declares a single feature, specifying its name, organization, range of allowed values, and optionally its default value."
fDescr,iso-fs,(feature description (in FSD)) describes in prose what is represented by the feature being declared and its values.
fLib,iso-fs,(feature library) assembles a library of f (feature) elements.
fs,iso-fs,"(feature structure) represents a feature structure, that is, a collection of feature-value pairs organized as a structural unit."
fsConstraints,iso-fs,(feature-structure constraints) specifies constraints on the content of valid feature structures.
fsDecl,iso-fs,(feature structure declaration) declares one type of feature structure.
fsDescr,iso-fs,(feature system description (in FSD)) describes in prose what is represented by the type of feature structure declared in the enclosing fsDecl.
fsdDecl,iso-fs,(feature system declaration) provides a feature system declaration comprising one or more feature structure declarations or feature structure declaration links.
fsdLink,iso-fs,(feature structure declaration link) associates the name of a typed feature structure with a feature structure declaration for it.
fvLib,iso-fs,(feature-value library) assembles a library of reusable feature value elements (including complete feature structures).
if,iso-fs,"defines a conditional default value for a feature; the condition is specified as a feature structure, and is met if it subsumes the feature structure in the text for which a default value is sought."
iff,iso-fs,(if and only if) separates the condition from the consequence in a bicond element.
numeric,iso-fs,(numeric value) represents the value part of a feature-value specification which contains a numeric value or range.
string,iso-fs,(string value) represents the value part of a feature-value specification which contains a string.
symbol,iso-fs,(symbolic value) represents the value part of a feature-value specification which contains one of a finite list of symbols.
then,iso-fs,"separates the condition from the default in an if, or the antecedent and the consequent in a cond element."
vAlt,iso-fs,"(value alternation) represents the value part of a feature-value specification which contains a set of values, only one of which can be valid."
vColl,iso-fs,"(collection of values) represents the value part of a feature-value specification which contains multiple values organized as a set, bag, or list."
vDefault,iso-fs,"(value default) declares the default value to be supplied when a feature structure does not contain an instance of f for this name; if unconditional, it is specified as one (or, depending on the value of the org attribute of the enclosing fDecl) more fs elements or primitive values; if conditional, it is specified as one or more if elements; if no default is specified, or no condition matches, the value none is assumed."
vLabel,iso-fs,(value label) represents the value part of a feature-value specification which appears at more than one point in a feature structure.
vMerge,iso-fs,"(merged collection of values) represents a feature value which is the result of merging together the feature values contained by its children, using the organization specified by the org attribute."
vNot,iso-fs,(value negation) represents a feature value which is the negation of its content.
vRange,iso-fs,"(value range) defines the range of allowed values for a feature, in the form of an fs, vAlt, or primitive value; for the value of an f to be valid, it must be subsumed by the specified range; if the f contains multiple values (as sanctioned by the org attribute), then each value must be subsumed by the vRange."
ab,linking,"(anonymous block) contains any component-level unit of text, acting as a container for phrase or inter level elements analogous to, but without the same constraints as, a paragraph."
alt,linking,(alternation) identifies an alternation or a set of choices among elements or passages.
altGrp,linking,(alternation group) groups a collection of alt elements and possibly pointers.
anchor,linking,"(anchor point) attaches an identifier to a point within a text, whether or not it corresponds with a textual element."
annotation,linking,represents an annotation following the Web Annotation Data Model.
join,linking,"(join) identifies a possibly fragmented segment of text, by pointing at the possibly discontiguous elements which compose it."
joinGrp,linking,(join group) groups a collection of join elements and possibly pointers.
link,linking,"(link) defines an association or hypertextual link among elements or passages, of some type not more precisely specifiable by other elements."
linkGrp,linking,(link group) defines a collection of associations or hypertextual links.
listAnnotation,linking,"contains a list of annotations, typically encoded as annotation, annotationBlock, or note, possibly organized with nested listAnnotation elements."
seg,linking,(arbitrary segment) represents any segmentation of text below the ‘chunk’ level.
standOff,linking,"Functions as a container element for linked data, contextual information, and stand-off annotations embedded in a TEI document."
timeline,linking,(timeline) provides a set of ordered points in time which can be linked to elements of a spoken text to create a temporal alignment of that text.
when,linking,"indicates a point in time either relative to other elements in the same timeline tag, or absolutely."
accMat,msdescription,"(accompanying material) contains details of any significant additional material which may be closely associated with the manuscript or object being described, such as non-contemporaneous documents or fragments bound in with it at some earlier historical period."
acquisition,msdescription,(acquisition) contains any descriptive or other information concerning the process by which a manuscript or manuscript part or other object entered the holding institution.
additional,msdescription,"(additional) groups additional information, combining bibliographic information about a manuscript or other object, or surrogate copies of it, with curatorial or administrative information."
additions,msdescription,"(additions) contains a description of any significant additions found within a manuscript or other object, such as marginalia or other annotations."
adminInfo,msdescription,"(administrative information) contains information about the present custody and availability of the manuscript or other object, and also about the record description itself."
altIdentifier,msdescription,"(alternative identifier) contains an alternative or former structured identifier used for a manuscript or other object, such as a former catalogue number."
binding,msdescription,"(binding) contains a description of one binding, i.e. type of covering, boards, etc. applied to a manuscript or other object."
bindingDesc,msdescription,"(binding description) describes the present and former bindings of a manuscript or other object, either as a series of paragraphs or as a series of distinct binding elements, one for each binding of the manuscript."
catchwords,msdescription,"(catchwords) describes the system used to ensure correct ordering of the quires or similar making up a codex, incunable, or other object typically by means of annotations at the foot of the page."
collation,msdescription,"(collation) contains a description of how the leaves, bifolia, or similar objects are physically arranged."
collection,msdescription,"(collection) contains the name of a collection of manuscripts or other objects, not necessarily located within a single repository."
colophon,msdescription,"(colophon) contains the colophon of an item: that is, a statement providing information regarding the date, place, agency, or reason for production of the manuscript or other object."
condition,msdescription,(condition) contains a description of the physical condition of the manuscript or object.
custEvent,msdescription,(custodial event) describes a single event during the custodial history of a manuscript or other object.
custodialHist,msdescription,"(custodial history) contains a description of a manuscript or other object's custodial history, either as running prose or as a series of dated custodial events."
decoDesc,msdescription,"(decoration description) contains a description of the decoration of a manuscript or other object, either as in paragraphs, or as one or more decoNote elements."
decoNote,msdescription,"(note on decoration) contains a note describing either a decorative component of a manuscript or other object, or a fairly homogenous class of such components."
depth,msdescription,"(depth) contains a measurement from the front to the back of an object, perpendicular to the measurement given by the width element."
dim,msdescription,contains any single measurement forming part of a dimensional specification of some sort.
dimensions,msdescription,(dimensions) contains a dimensional specification.
explicit,msdescription,"(explicit) contains the explicit of a item, that is, the closing words of the text proper, exclusive of any rubric or colophon which might follow it."
filiation,msdescription,"(filiation) contains information concerning the manuscript or other object's filiation, i.e. its relationship to other surviving manuscripts or other objects of the same text or contents, its protographs, antigraphs and apographs."
finalRubric,msdescription,"(final rubric) contains the string of words that denotes the end of a text division, often with an assertion as to its author and title, usually set off from the text itself by red ink, by a different size or type of script, or by some other such visual device."
foliation,msdescription,(foliation) describes the numbering system or systems used to count the leaves or pages in a codex or similar object.
handDesc,msdescription,(description of hands) contains a description of all the different hands used in a manuscript or other object.
